Date,Residential,Commercial,Power Stations
Jun 2021,1706,212,0
Jul 2021,1089,138,0
Aug 2021,1586,218,0
Sep 2021,1716,453,0
Oct 2021,1550,324,394
Nov 2021,1690,279,249
Dec 2021,1777,599,0
Jan 2022,944,105,0
Feb 2022,1208,128,0
Mar 2022,1208,49,0
Apr 2022,1012,344,0
May 2022,1308,382,0
Jun 2022,1515,272,0
Jul 2022,1247,264,0
Aug 2022,1922,230,0
Sep 2022,1453,412,0
Oct 2022,1346,152,408
Nov 2022,2115,341,0
Dec 2022,1735,646,0
Jan 2023,1253,54,0
Feb 2023,1555,269,341
Mar 2023,1382,304,0
Apr 2023,1335,159,223
May 2023,1722,199,0
Jun 2023,1643,229,0
Jul 2023,1649,185,394
Aug 2023,1915,452,0
Sep 2023,1712,191,0
Oct 2023,1865,490,0
Nov 2023,1798,356,0
Dec 2023,1974,809,0
Jan 2024,1278,81,0
Feb 2024,1539,183,0
Mar 2024,1569,500,0
Apr 2024,1443,404,0
May 2024,1481,212,480
Jun 2024,1495,492,0
Jul 2024,1446,539,0
Aug 2024,1763,261,528
Sep 2024,1997,316,0
Oct 2024,1498,364,265
Nov 2024,1976,323,0
Dec 2024,1519,250,0
Jan 2025,891,95,280
Feb 2025,1138,230,0
Mar 2025,1217,363,532
Apr 2025,931,77,0
May 2025,885,164,395
Jun 2025,865,188,0
Jul 2025,1050,381,0
Aug 2025,849,460,0
Sep 2025,1035,411,0
Oct 2025,1244,437,0
Nov 2025,1269,292,0
Dec 2025,859,187,0
