Date,Residential,Commercial,Power Stations,
Aug-21,212,10,0,
Sep-21,246,15,0,
Oct-21,192,12,2,
Nov-21,229,8,1,
Dec-21,229,18,0,
Jan-22,124,6,0,
Feb-22,158,6,0,
Mar-22,162,3,0,
Apr-22,134,7,0,
May-22,176,12,0,
Jun-22,199,9,0,
Jul-22,164,9,0,
Aug-22,253,9,0,
Sep-22,193,14,0,
Oct-22,171,6,1,
Nov-22,260,13,0,
Dec-22,210,16,0,
Jan-23,160,2,0,
Feb-23,195,9,1,
Mar-23,184,11,0,
Apr-23,172,8,1,
May-23,226,7,0,
Jun-23,198,6,0,
Jul-23,196,9,1,
Aug-23,245,13,0,
Sep-23,203,5,0,
Oct-23,225,16,0,
Nov-23,220,8,0,
Dec-23,231,18,0,
Jan-24,160,4,0,
Feb-24,192,8,0,
Mar-24,189,13,0,
Apr-24,172,15,0,
May-24,172,5,1,
Jun-24,181,20,0,
Jul-24,173,17,0,
Aug-24,214,10,1,
Sep-24,247,11,0,
Oct-24,213,14,1,
Nov-24,272,11,0,
Dec-24,199,7,0,
Jan-25,112,4,1,
Feb-25,136,8,0,
Mar-25,147,11,1,
Apr-25,111,3,0,
May-25,113,8,2,
Jun-25,108,6,0,
Jul-25,127,14,0,
Aug-25,98,14,0,
Sep-25,121,13,0,
Oct-25,144,21,0,
Nov-25,150,16,0,
Dec-25,107,9,0,
,26678,1076,19,27773
